20
218
1 2 3
1 3 1
1 5 2
1 9 2
1 10 3
1 12 3
1 14 3
1 17 3
1 18 3
1 19 3
2 1 2
2 3 2
2 4 3
2 8 3
2 10 6
2 14 3
2 15 5
2 16 5
2 17 5
2 18 4
2 19 4
3 1 3
3 2 4
3 4 3
3 5 4
3 8 1
3 9 2
3 10 4
3 11 5
3 12 6
3 14 3
3 16 5
3 18 3
3 19 4
3 20 3
4 1 2
4 2 2
4 5 5
4 7 3
4 10 5
4 11 5
4 12 4
4 13 2
4 14 2
4 19 3
4 20 3
5 1 3
5 2 4
5 6 5
5 7 3
5 9 3
5 11 6
5 12 5
5 14 3
5 15 4
5 19 3
5 20 3
6 3 4
6 4 4
6 6 6
6 9 4
6 10 7
6 11 7
6 15 4
6 18 5
7 1 2
7 3 3
7 4 3
7 6 6
7 7 4
7 8 3
7 11 5
7 12 4
7 13 4
7 16 6
7 18 5
7 19 5
8 1 3
8 2 4
8 6 6
8 7 4
8 8 4
8 9 4
8 10 5
8 11 3
8 14 4
8 16 5
8 18 6
9 1 3
9 2 5
9 5 5
9 6 6
9 7 4
9 8 4
9 11 3
9 14 7
9 15 7
9 16 7
9 17 7
9 18 6
9 19 6
10 2 8
10 3 7
10 5 5
10 6 5
10 9 4
10 13 4
10 14 5
10 15 4
10 16 5
10 17 7
10 18 6
10 19 6
11 4 6
11 16 6
11 17 6
11 18 5
11 19 5
12 3 6
12 4 5
12 5 6
12 7 4
12 8 3
12 9 4
12 10 4
12 16 5
12 17 4
12 19 2
13 1 3
13 4 3
13 5 5
13 6 5
13 9 4
13 13 5
13 15 5
13 17 4
13 19 3
13 20 2
14 2 4
14 3 4
14 4 3
14 7 6
14 8 5
14 9 5
14 10 6
14 11 6
14 14 4
14 15 5
14 16 6
14 17 4
14 18 4
14 19 3
15 1 1
15 2 3
15 3 2
15 5 3
15 8 4
15 10 7
15 11 6
15 12 4
15 15 4
15 16 4
15 18 3
16 1 1
16 4 3
16 5 3
16 6 3
16 8 6
16 10 7
16 11 4
16 12 2
16 14 4
16 18 2
17 1 3
17 2 4
17 4 4
17 5 5
17 6 4
17 7 5
17 10 7
17 13 4
17 16 3
17 17 3
17 18 3
17 19 5
18 1 2
18 3 6
18 5 7
18 6 5
18 9 6
18 10 6
18 11 4
18 12 4
18 16 4
18 18 5
18 19 5
19 1 4
19 2 6
19 4 6
19 8 4
19 12 5
19 13 4
19 15 4
19 16 4
19 17 2
19 18 4
19 19 4
19 20 4
20 1 2
20 2 4
20 6 3
20 8 3
20 9 2
20 10 4
20 11 2
20 15 3
20 16 2
20 19 2
