15
108
1 2 3
1 4 0
1 6 4
1 7 5
1 9 1
1 11 4
1 13 2
1 14 2
2 3 3
3 3 3
3 4 2
3 5 3
3 8 3
3 15 6
4 2 5
4 6 6
4 9 4
4 11 7
4 13 7
5 1 4
5 3 4
5 4 5
5 5 5
5 8 4
5 10 6
5 11 8
5 13 6
5 14 6
6 2 7
6 4 8
6 6 9
6 8 3
6 10 6
6 12 7
7 1 4
7 5 8
7 7 5
7 8 3
7 11 7
7 12 7
7 15 2
8 1 4
8 3 7
8 5 8
8 7 4
8 12 7
8 13 6
8 14 5
9 2 6
9 3 6
9 4 8
9 7 5
9 8 5
9 10 5
9 11 5
9 12 5
9 13 6
9 15 4
10 1 5
10 4 9
10 9 4
10 11 4
10 13 4
10 15 5
11 1 3
11 3 7
11 4 9
11 7 5
11 8 6
11 9 6
11 11 4
11 14 7
11 15 5
12 1 4
12 3 7
12 4 7
12 5 5
12 7 4
12 8 4
12 10 6
12 12 5
12 13 5
13 2 5
13 3 5
13 4 5
13 5 5
13 6 5
13 8 3
13 9 5
13 10 6
13 11 7
13 12 5
13 13 6
13 15 5
14 3 5
14 9 3
14 10 4
14 12 4
14 13 5
14 14 6
14 15 6
15 1 3
15 4 2
15 5 4
15 6 4
15 7 4
15 13 4
15 14 4
