20
204
1 2 3
1 4 3
1 5 1
1 6 1
1 9 4
1 10 2
1 11 3
1 14 4
1 16 3
2 3 6
2 6 2
2 12 4
2 17 2
2 19 5
3 1 2
3 4 4
3 5 4
3 6 3
3 8 5
3 9 5
3 13 6
3 14 7
3 17 3
3 18 1
3 20 3
4 3 5
4 5 5
4 7 5
4 9 5
4 10 7
4 12 8
4 13 8
4 14 9
4 15 9
4 17 3
4 19 3
5 4 5
5 8 5
5 9 4
5 10 5
5 11 4
5 13 7
5 14 7
5 17 5
5 20 3
6 1 3
6 3 5
6 5 5
6 6 5
6 8 6
6 9 5
6 11 4
6 12 6
6 14 4
6 16 5
6 18 5
6 20 3
7 1 3
7 3 6
7 4 7
7 6 3
7 8 5
7 10 5
7 12 4
7 13 3
7 15 1
7 16 3
7 20 2
8 2 5
8 3 3
8 5 5
8 6 4
8 8 5
8 11 6
8 13 5
8 14 3
8 16 3
8 17 5
8 20 0
9 1 3
9 5 5
9 7 4
9 9 6
9 12 6
9 13 6
9 14 5
9 15 4
9 17 4
9 19 2
9 20 0
10 3 1
10 6 5
10 8 4
10 9 3
10 10 3
10 13 7
10 20 5
11 2 1
11 11 3
11 12 3
11 14 8
11 17 4
11 18 5
12 2 2
12 3 3
12 5 5
12 6 5
12 7 3
12 9 4
12 10 5
12 11 5
12 13 5
12 14 6
12 17 4
12 18 4
13 2 4
13 3 5
13 6 5
13 7 5
13 10 5
13 11 5
13 13 4
13 16 4
13 18 2
13 19 0
14 3 5
14 4 6
14 5 4
14 6 6
14 7 6
14 8 7
14 11 3
14 13 2
14 15 5
14 18 1
14 19 0
15 2 5
15 3 4
15 5 4
15 6 6
15 7 7
15 8 7
15 9 4
15 10 4
15 11 3
15 12 4
15 13 4
15 14 5
15 15 5
15 16 5
15 17 3
15 18 3
15 19 1
16 1 2
16 2 4
16 3 3
16 4 5
16 5 4
16 6 6
16 7 5
16 8 7
16 9 4
16 10 6
16 11 4
16 12 6
16 13 4
16 14 6
16 16 5
16 19 3
17 1 2
17 3 4
17 6 5
17 7 5
17 9 4
17 13 5
17 14 6
17 16 4
17 18 7
17 20 4
18 4 4
18 7 4
18 9 5
18 13 4
18 14 4
18 15 3
18 20 3
19 4 4
19 5 5
19 7 4
19 8 4
19 11 3
19 12 4
19 14 3
19 17 2
19 18 5
19 19 5
19 20 3
20 1 2
20 3 3
20 6 1
20 10 1
20 11 2
20 12 1
20 16 1
