15
110
1 2 3
1 4 4
1 8 4
1 9 4
1 11 2
1 13 3
1 14 3
1 15 2
2 1 3
2 3 5
2 5 5
2 7 5
2 10 5
2 13 3
3 1 1
3 2 4
3 4 7
3 8 6
3 9 7
3 12 2
3 13 3
4 1 3
4 2 5
4 3 5
4 4 5
4 5 5
4 6 6
4 12 4
4 13 4
5 2 5
5 4 5
5 5 4
5 6 6
5 7 4
5 8 6
5 9 3
5 11 4
5 14 3
5 15 2
6 2 5
6 3 4
6 6 3
6 7 3
6 10 5
6 11 4
6 12 4
6 14 4
6 15 4
7 1 1
7 2 3
7 4 5
7 11 2
7 12 3
7 13 4
8 4 5
8 5 4
8 6 1
8 9 5
8 10 3
8 11 2
8 14 5
9 4 3
9 7 3
9 8 4
9 10 4
9 13 4
10 1 2
10 2 3
10 3 5
10 4 4
10 7 1
10 8 4
10 9 5
10 13 4
10 14 5
10 15 4
11 1 3
11 3 3
11 6 2
11 7 3
11 9 6
11 12 5
11 14 5
12 1 3
12 4 3
12 6 4
12 8 5
12 11 3
12 12 5
12 13 6
12 14 6
13 1 3
13 3 3
13 7 5
13 10 6
13 13 6
14 1 1
14 3 3
14 4 6
14 5 5
14 7 6
14 11 6
14 14 2
15 2 3
15 3 3
15 5 4
15 10 4
15 11 6
15 12 4
15 14 0
